ID	T-18	T-12	T-6	T-0
0	0.978479	1.145516	1.121886	1.114499
1	1.00737	1.146308	1.12395	1.086704
2	1.044054	1.141416	1.128209	1.047624
3	1.082101	1.134226	1.132668	1.001633
4	1.114202	1.127476	1.134403	0.953651
5	1.135577	1.123048	1.129654	0.907479
6	1.145516	1.121886	1.114499	0.865487
7	1.146308	1.12395	1.086704	0.828825
8	1.141416	1.128209	1.047624	0.797673
9	1.134226	1.132668	1.001633	0.771443
10	1.127476	1.134403	0.953651	0.749026
11	1.123048	1.129654	0.907479	0.729092
12	1.121886	1.114499	0.865487	0.710435
13	1.12395	1.086704	0.828825	0.692292
14	1.128209	1.047624	0.797673	0.674578
15	1.132668	1.001633	0.771443	0.658054
16	1.134403	0.953651	0.749026	0.644472
17	1.129654	0.907479	0.729092	0.636753
18	1.114499	0.865487	0.710435	0.638895
19	1.086704	0.828825	0.692292	0.655009
20	1.047624	0.797673	0.674578	0.687217
21	1.001633	0.771443	0.658054	0.73371
22	0.953651	0.749026	0.644472	0.789158
23	0.907479	0.729092	0.636753	0.847349
24	0.865487	0.710435	0.638895	0.90353
25	0.828825	0.692292	0.655009	0.955027
26	0.797673	0.674578	0.687217	1.000769
27	0.771443	0.658054	0.73371	1.040585
28	0.749026	0.644472	0.789158	1.074675
29	0.729092	0.636753	0.847349	1.103332
30	0.710435	0.638895	0.90353	1.126847
31	0.692292	0.655009	0.955027	1.145545
32	0.674578	0.687217	1.000769	1.159898
33	0.658054	0.73371	1.040585	1.17068
34	0.644472	0.789158	1.074675	1.179152
35	0.636753	0.847349	1.103332	1.187176
36	0.638895	0.90353	1.126847	1.19708
37	0.655009	0.955027	1.145545	1.210955
38	0.687217	1.000769	1.159898	1.22932
39	0.73371	1.040585	1.17068	1.249667
40	0.789158	1.074675	1.179152	1.266174
41	0.847349	1.103332	1.187176	1.271885
42	0.90353	1.126847	1.19708	1.262281
43	0.955027	1.145545	1.210955	1.237029
44	1.000769	1.159898	1.22932	1.198893
45	1.040585	1.17068	1.249667	1.151759
46	1.074675	1.179152	1.266174	1.099321
47	1.103332	1.187176	1.271885	1.044571
48	1.126847	1.19708	1.262281	0.989739
49	1.145545	1.210955	1.237029	0.936377
50	1.159898	1.22932	1.198893	0.885455
51	1.17068	1.249667	1.151759	0.837411
52	1.179152	1.266174	1.099321	0.79216
53	1.187176	1.271885	1.044571	0.749126
54	1.19708	1.262281	0.989739	0.707459
55	1.210955	1.237029	0.936377	0.666476
56	1.22932	1.198893	0.885455	0.62617
57	1.249667	1.151759	0.837411	0.587373
58	1.266174	1.099321	0.79216	0.551519
59	1.271885	1.044571	0.749126	0.520352
60	1.262281	0.989739	0.707459	0.495906
61	1.237029	0.936377	0.666476	0.480695
62	1.198893	0.885455	0.62617	0.477867
63	1.151759	0.837411	0.587373	0.490872
64	1.099321	0.79216	0.551519	0.522227
65	1.044571	0.749126	0.520352	0.571569
66	0.989739	0.707459	0.495906	0.634563
67	0.936377	0.666476	0.480695	0.704185
68	0.885455	0.62617	0.477867	0.773444
69	0.837411	0.587373	0.490872	0.837239
70	0.79216	0.551519	0.522227	0.892625
71	0.749126	0.520352	0.571569	0.938228
72	0.707459	0.495906	0.634563	0.973635
73	0.666476	0.480695	0.704185	0.999063
74	0.62617	0.477867	0.773444	1.015238
75	0.587373	0.490872	0.837239	1.02332
76	0.551519	0.522227	0.892625	1.024831
77	0.520352	0.571569	0.938228	1.021604
78	0.495906	0.634563	0.973635	1.015813
79	0.480695	0.704185	0.999063	1.010039
80	0.477867	0.773444	1.015238	1.007271
81	0.490872	0.837239	1.02332	1.01066
82	0.522227	0.892625	1.024831	1.022863
83	0.571569	0.938228	1.021604	1.045033
84	0.634563	0.973635	1.015813	1.075708
85	0.704185	0.999063	1.010039	1.110071
86	0.773444	1.015238	1.007271	1.140718
87	0.837239	1.02332	1.01066	1.160757
88	0.892625	1.024831	1.022863	1.167119
89	0.938228	1.021604	1.045033	1.161011
90	0.973635	1.015813	1.075708	1.146045
91	0.999063	1.010039	1.110071	1.126306
92	1.015238	1.007271	1.140718	1.105331
93	1.02332	1.01066	1.160757	1.085769
94	1.024831	1.022863	1.167119	1.069313
95	1.021604	1.045033	1.161011	1.056654
96	1.015813	1.075708	1.146045	1.047421
97	1.010039	1.110071	1.126306	1.04013
98	1.007271	1.140718	1.105331	1.032231
99	1.01066	1.160757	1.085769	1.020384
100	1.022863	1.167119	1.069313	1.001175
101	1.045033	1.161011	1.056654	0.972488
102	1.075708	1.146045	1.047421	0.934945
103	1.110071	1.126306	1.04013	0.891868
104	1.140718	1.105331	1.032231	0.847604
105	1.160757	1.085769	1.020384	0.805984
106	1.167119	1.069313	1.001175	0.769829
107	1.161011	1.056654	0.972488	0.741007
108	1.146045	1.047421	0.934945	0.720515
109	1.126306	1.04013	0.891868	0.708467
110	1.105331	1.032231	0.847604	0.704107
111	1.085769	1.020384	0.805984	0.705985
112	1.069313	1.001175	0.769829	0.712329
113	1.056654	0.972488	0.741007	0.721531
114	1.047421	0.934945	0.720515	0.732625
115	1.04013	0.891868	0.708467	0.745685
116	1.032231	0.847604	0.704107	0.762062
117	1.020384	0.805984	0.705985	0.784257
118	1.001175	0.769829	0.712329	0.814995
119	0.972488	0.741007	0.721531	0.855255
120	0.934945	0.720515	0.732625	0.902615
121	0.891868	0.708467	0.745685	0.952124
122	0.847604	0.704107	0.762062	0.999011
123	0.805984	0.705985	0.784257	1.040479
124	0.769829	0.712329	0.814995	1.075792
125	0.741007	0.721531	0.855255	1.105566
126	0.720515	0.732625	0.902615	1.131034
127	0.708467	0.745685	0.952124	1.153514
128	0.704107	0.762062	0.999011	1.1741
129	0.705985	0.784257	1.040479	1.193532
130	0.712329	0.814995	1.075792	1.21222
131	0.721531	0.855255	1.105566	1.230352
132	0.732625	0.902615	1.131034	1.248028
133	0.745685	0.952124	1.153514	1.265315
134	0.762062	0.999011	1.1741	1.282093
135	0.784257	1.040479	1.193532	1.297441
136	0.814995	1.075792	1.21222	1.308567
137	0.855255	1.105566	1.230352	1.310455
138	0.902615	1.131034	1.248028	1.298146
139	0.952124	1.153514	1.265315	1.27015
140	0.999011	1.1741	1.282093	1.228902
141	1.040479	1.193532	1.297441	1.178515
142	1.075792	1.21222	1.308567	1.122807
143	1.105566	1.230352	1.310455	1.064597
144	1.131034	1.248028	1.298146	1.005744
145	1.153514	1.265315	1.27015	0.947416
146	1.1741	1.282093	1.228902	0.890342
147	1.193532	1.297441	1.178515	0.834998
148	1.21222	1.308567	1.122807	0.781706
149	1.230352	1.310455	1.064597	0.730679
150	1.248028	1.298146	1.005744	0.682051
151	1.265315	1.27015	0.947416	0.635916
152	1.282093	1.228902	0.890342	0.59241
153	1.297441	1.178515	0.834998	0.551876
154	1.308567	1.122807	0.781706	0.51501
155	1.310455	1.064597	0.730679	0.482934
156	1.298146	1.005744	0.682051	0.457243
157	1.27015	0.947416	0.635916	0.440142
158	1.228902	0.890342	0.59241	0.434621
159	1.178515	0.834998	0.551876	0.444329
160	1.122807	0.781706	0.51501	0.472644
161	1.064597	0.730679	0.482934	0.520635
162	1.005744	0.682051	0.457243	0.585024
163	0.947416	0.635916	0.440142	0.658408
164	0.890342	0.59241	0.434621	0.732193
165	0.834998	0.551876	0.444329	0.799614
166	0.781706	0.51501	0.472644	0.856805
167	0.730679	0.482934	0.520635	0.902313
168	0.682051	0.457243	0.585024	0.936183
169	0.635916	0.440142	0.658408	0.959247
170	0.59241	0.434621	0.732193	0.972724
171	0.551876	0.444329	0.799614	0.978048
172	0.51501	0.472644	0.856805	0.976825
173	0.482934	0.520635	0.902313	0.970858
174	0.457243	0.585024	0.936183	0.962216
175	0.440142	0.658408	0.959247	0.953348
176	0.434621	0.732193	0.972724	0.947167
177	0.444329	0.799614	0.978048	0.946938
178	0.472644	0.856805	0.976825	0.95577
179	0.520635	0.902313	0.970858	0.975641
180	0.585024	0.936183	0.962216	1.006219
181	0.658408	0.959247	0.953348	1.043909
182	0.732193	0.972724	0.947167	1.082063
183	0.799614	0.978048	0.946938	1.113503
184	0.856805	0.976825	0.95577	1.134023
185	0.902313	0.970858	0.975641	1.143551
186	0.936183	0.962216	1.006219	1.144733
