ID	T+6
0	0.865487
1	0.828825
2	0.797673
3	0.771443
4	0.749026
5	0.729092
6	0.710435
7	0.692292
8	0.674578
9	0.658054
10	0.644472
11	0.636753
12	0.638895
13	0.655009
14	0.687217
15	0.73371
16	0.789158
17	0.847349
18	0.90353
19	0.955027
20	1.000769
21	1.040585
22	1.074675
23	1.103332
24	1.126847
25	1.145545
26	1.159898
27	1.17068
28	1.179152
29	1.187176
30	1.19708
31	1.210955
32	1.22932
33	1.249667
34	1.266174
35	1.271885
36	1.262281
37	1.237029
38	1.198893
39	1.151759
40	1.099321
41	1.044571
42	0.989739
43	0.936377
44	0.885455
45	0.837411
46	0.79216
47	0.749126
48	0.707459
49	0.666476
50	0.62617
51	0.587373
52	0.551519
53	0.520352
54	0.495906
55	0.480695
56	0.477867
57	0.490872
58	0.522227
59	0.571569
60	0.634563
61	0.704185
62	0.773444
63	0.837239
64	0.892625
65	0.938228
66	0.973635
67	0.999063
68	1.015238
69	1.02332
70	1.024831
71	1.021604
72	1.015813
73	1.010039
74	1.007271
75	1.01066
76	1.022863
77	1.045033
78	1.075708
79	1.110071
80	1.140718
81	1.160757
82	1.167119
83	1.161011
84	1.146045
85	1.126306
86	1.105331
87	1.085769
88	1.069313
89	1.056654
90	1.047421
91	1.04013
92	1.032231
93	1.020384
94	1.001175
95	0.972488
96	0.934945
97	0.891868
98	0.847604
99	0.805984
100	0.769829
101	0.741007
102	0.720515
103	0.708467
104	0.704107
105	0.705985
106	0.712329
107	0.721531
108	0.732625
109	0.745685
110	0.762062
111	0.784257
112	0.814995
113	0.855255
114	0.902615
115	0.952124
116	0.999011
117	1.040479
118	1.075792
119	1.105566
120	1.131034
121	1.153514
122	1.1741
123	1.193532
124	1.21222
125	1.230352
126	1.248028
127	1.265315
128	1.282093
129	1.297441
130	1.308567
131	1.310455
132	1.298146
133	1.27015
134	1.228902
135	1.178515
136	1.122807
137	1.064597
138	1.005744
139	0.947416
140	0.890342
141	0.834998
142	0.781706
143	0.730679
144	0.682051
145	0.635916
146	0.59241
147	0.551876
148	0.51501
149	0.482934
150	0.457243
151	0.440142
152	0.434621
153	0.444329
154	0.472644
155	0.520635
156	0.585024
157	0.658408
158	0.732193
159	0.799614
160	0.856805
161	0.902313
162	0.936183
163	0.959247
164	0.972724
165	0.978048
166	0.976825
167	0.970858
168	0.962216
169	0.953348
170	0.947167
171	0.946938
172	0.95577
173	0.975641
174	1.006219
175	1.043909
176	1.082063
177	1.113503
178	1.134023
179	1.143551
180	1.144733
181	1.141083
182	1.135856
183	1.131571
184	1.12984
185	1.131308
186	1.135641
187	1.141585
188	1.147036
189	1.149064
190	1.143951
191	1.127877
192	1.098864
193	1.05864
194	1.011819
195	0.96331
196	0.916753
197	0.874305
198	0.836896
199	0.804512
200	0.776436
201	0.751534
202	0.728576
203	0.70656
204	0.684977
205	0.663962
206	0.644406
207	0.628088
208	0.617878
209	0.61771
210	0.631718
211	0.66224
212	0.707827
213	0.763403
214	0.822717
215	0.880733
216	0.934421
217	0.982375
218	1.024152
219	1.059749
220	1.089332
221	1.113138
222	1.131508
223	1.144982
224	1.154432
225	1.161225
226	1.167342
227	1.175282
228	1.187468
229	1.20506
230	1.226526
231	1.246911
232	1.259125
233	1.257277
234	1.239406
235	1.207348
236	1.164834
237	1.115821
238	1.063672
239	1.010952
240	0.959472
241	0.910385
242	0.864242
243	0.820985
244	0.779964
245	0.740115
246	0.700438
247	0.660599
248	0.621265
249	0.583898
250	0.550347
251	0.522667
252	0.503238
253	0.494946
254	0.501046
255	0.524302
256	0.565378
257	0.621504
258	0.686918
259	0.755012
260	0.820335
261	0.879299
262	0.929865
263	0.971003
264	1.00237
265	1.02422
266	1.037373
267	1.043133
268	1.043191
269	1.039597
270	1.034784
271	1.031578
272	1.033042
273	1.041983
274	1.060104
275	1.086972
276	1.119072
277	1.149774
278	1.171483
279	1.179316
280	1.17299
281	1.155625
282	1.131513
283	1.104644
284	1.078137
285	1.05413
286	1.033776
287	1.017199
288	1.003429
289	0.990407
290	0.975208
291	0.954655
292	0.926452
293	0.890488
294	0.849187
295	0.806372
296	0.765817
297	0.73058
298	0.702968
299	0.684572
300	0.676166
301	0.677547
302	0.687539
303	0.704297
304	0.72584
305	0.750622
306	0.777979
307	0.808336
308	0.842969
309	0.883041
310	0.928037
311	0.974971
312	1.019681
313	1.058943
314	1.091446
315	1.117543
316	1.138606
317	1.156424
318	1.172754
319	1.18899
320	1.20598
321	1.223973
322	1.242683
323	1.261371
324	1.278809
325	1.292943
326	1.30036
327	1.296456
328	1.277559
329	1.243592
330	1.197928
331	1.145046
332	1.088749
333	1.031623
334	0.975157
335	0.920054
336	0.866547
337	0.814658
338	0.764392
339	0.715828
340	0.669151
341	0.624642
342	0.582708
343	0.543951
344	0.509305
345	0.480163
346	0.458506
347	0.447051
348	0.449216
349	0.468502
350	0.50693
351	0.563099
352	0.631571
353	0.704609
354	0.774921
355	0.837384
356	0.889288
357	0.929766
358	0.959106
359	0.978241
360	0.988442
361	0.9912
362	0.988202
363	0.981392
364	0.973058
365	0.965928
366	0.96313
367	0.967849
368	0.982576
369	1.008074
370	1.042321
371	1.079935
372	1.113439
373	1.136748
374	1.147916
375	1.14873
376	1.142705
377	1.133486
378	1.124112
379	1.116752
380	1.112616
381	1.111903
382	1.113786
383	1.116466
384	1.11724
385	1.112622
386	1.098818
387	1.073174
388	1.03614
389	0.99148
390	0.944132
391	0.89822
392	0.85646
393	0.820303
394	0.790173
395	0.765655
396	0.745706
397	0.728942
398	0.713997
399	0.699884
400	0.686282
401	0.673736
402	0.663819
403	0.659294
404	0.664047
405	0.682135
406	0.715607
407	0.762491
408	0.817333
409	0.874007
410	0.928031
411	0.977073
412	1.02038
413	1.058039
414	1.090451
415	1.118049
416	1.141205
417	1.160263
418	1.175654
419	1.188052
420	1.198557
421	1.208812
422	1.220834
423	1.236221
424	1.254661
425	1.272557
426	1.283467
427	1.281171
428	1.262967
429	1.23012
430	1.186073
431	1.134657
432	1.079193
433	1.022253
434	0.965705
435	0.910826
436	0.858398
437	0.80876
438	0.761825
439	0.717139
440	0.674096
441	0.632334
442	0.592115
443	0.554373
444	0.520499
445	0.49219
446	0.471559
447	0.461363
448	0.465056
449	0.486154
450	0.526508
451	0.584177
452	0.653034
453	0.72511
454	0.793575
455	0.854093
456	0.904565
457	0.944343
458	0.973608
459	0.993058
460	1.003779
461	1.007176
462	1.004929
463	0.998998
464	0.991701
465	0.985798
466	0.984446
467	0.990808
468	1.007191
469	1.033905
470	1.068191
471	1.103964
472	1.133634
473	1.151716
474	1.157033
475	1.151894
476	1.140069
477	1.125299
478	1.110632
479	1.098223
480	1.089257
481	1.083903
482	1.081265
483	1.079379
484	1.075301
485	1.065387
486	1.046139
487	1.015874
488	0.976161
489	0.931157
490	0.885473
491	0.84276
492	0.805441
493	0.774867
494	0.751452
495	0.734766
496	0.723687
497	0.71668
498	0.712184
499	0.709037
