ID	t0-PM2.5
0	30
1	41
2	44
3	33
4	37
5	36
6	45
7	42
8	49
9	45
10	44
11	41
12	30
13	24
14	13
15	21
16	23
17	30
18	30
19	22
20	18
21	13
22	13
23	11
24	22
25	25
26	34
27	38
28	50
29	53
30	43
31	43
32	45
33	46
34	32
35	16
36	19
37	22
38	26
39	19
40	25
41	27
42	20
43	16
44	14
45	15
46	8
47	4
48	9
49	16
50	22
51	23
52	29
53	32
54	36
55	34
56	45
57	40
58	41
59	23
60	29
61	23
62	37
63	27
64	27
65	14
66	20
67	22
68	24
69	26
70	33
71	48
72	50
73	49
74	45
75	63
76	63
77	62
78	55
79	56
80	67
81	78
82	83
83	90
84	75
85	85
86	82
87	80
88	80
89	76
90	81
91	75
92	66
93	70
94	65
95	66
96	57
97	56
98	64
99	67
100	72
101	64
102	73
103	57
104	57
105	53
106	70
107	70
108	60
109	68
110	66
111	66
112	55
113	46
114	46
115	46
116	42
117	35
118	35
119	40
120	45
121	48
122	57
123	57
124	59
125	62
126	59
127	61
128	50
129	60
130	62
131	62
132	50
133	45
134	43
135	41
136	32
137	35
138	31
139	33
140	25
141	36
142	28
143	33
144	29
145	42
146	56
147	66
148	78
149	62
150	61
151	47
152	54
153	57
154	59
155	61
156	43
157	39
158	38
159	48
160	53
161	60
162	60
163	52
164	47
165	45
166	50
167	43
168	40
169	42
170	41
171	39
172	36
173	35
174	36
175	36
176	32
177	33
178	33
179	34
180	21
181	15
182	13
183	18
184	15
185	9
186	9
187	14
188	15
189	20
190	16
191	23
192	16
193	17
194	9
195	7
196	7
197	20
198	20
199	20
200	18
201	18
202	22
203	15
204	11
205	1
206	1
207	6
208	7
209	7
210	0
211	0
212	1
213	1
214	7
215	7
216	8
217	4
218	8
219	12
220	19
221	23
222	20
223	18
224	15
225	16
226	10
227	6
228	11
229	22
230	28
231	25
232	21
233	25
234	24
235	23
236	18
237	20
238	14
239	7
240	17
241	31
242	44
243	43
244	46
245	36
246	36
247	29
248	32
249	33
250	30
251	40
252	36
253	46
254	41
255	48
256	56
257	62
258	52
259	40
260	32
261	37
262	31
263	34
264	32
265	33
266	31
267	21
268	20
269	19
270	24
271	25
272	14
273	16
274	22
275	23
276	18
277	6
278	9
279	10
280	10
281	10
282	13
283	18
284	16
285	7
286	5
287	2
288	11
289	8
290	21
291	17
292	23
293	18
294	29
295	38
296	43
297	44
298	48
299	47
300	36
301	25
302	23
303	29
304	23
305	21
306	21
307	30
308	26
309	26
310	26
311	23
312	16
313	4
314	6
315	6
316	8
317	10
318	6
319	4
320	7
321	14
322	20
323	17
324	14
325	13
326	9
327	9
328	4
329	8
330	5
331	14
332	11
333	13
334	4
335	9
336	15
337	23
338	23
339	18
340	10
341	4
342	13
343	14
344	18
345	20
346	25
347	24
348	14
349	15
350	22
351	21
352	32
353	30
354	36
355	26
356	21
357	19
358	19
359	19
360	18
361	27
362	37
363	39
364	31
365	25
366	22
367	20
368	13
369	8
370	15
371	13
372	22
373	19
374	23
375	15
376	17
377	13
378	21
379	22
380	33
381	28
382	25
383	21
384	23
385	27
386	29
387	30
388	31
389	29
390	31
391	26
392	17
393	13
394	18
395	29
396	22
397	21
398	23
399	34
400	32
401	24
402	23
403	28
404	30
405	32
406	24
407	27
408	17
409	20
410	20
411	29
412	25
413	25
414	22
415	27
416	22
417	31
418	32
419	35
420	25
421	14
422	7
423	0
424	2
425	7
426	11
427	7
428	8
429	12
430	15
431	17
432	9
433	11
434	5
435	7
436	5
437	9
438	6
439	6
440	4
441	4
442	0
443	0
444	0
445	2
446	2
447	2
448	8
449	8
450	8
451	20
452	28
453	36
454	23
455	21
456	25
457	16
458	19
459	17
460	18
461	12
462	13
463	22
464	29
465	21
466	21
467	14
468	16
469	6
470	11
471	10
472	14
473	8
474	23
475	21
476	29
477	29
478	34
